contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C	length
IT4_3110981	12	7	8	12	6	7	12	20	13	39	40	45	4841
IT4_3111363	2	16	15	10	8	7	12	8	12	71	40	51	4762
IT4_3111967	54	61	58	31	27	33	54	36	39	84	106	46	11914
IT4_3112049	32	19	26	24	20	16	30	37	38	57	85	58	7438
IT4_311278	16	31	35	30	14	23	20	18	23	51	43	37	5404
IT4_311284	1050	1156	1150	857	587	734	499	636	741	886	1013	706	12840
IT4_3113952	40	78	45	51	42	26	56	55	44	74	92	66	10952
IT4_3114208	350	356	343	354	288	317	342	335	309	473	512	415	9229
IT4_3114270	55	78	78	49	36	33	20	26	32	69	76	57	11326
IT4_3115876	8	3	9	5	8	6	18	12	15	49	44	36	3533
IT4_3116204	92	108	119	68	68	49	63	73	83	115	118	67	15153
IT4_3117764	14	14	18	16	14	12	12	35	6	32	52	30	4366
IT4_3118790	28	44	29	36	26	31	40	39	26	126	122	86	10773
IT4_3119404	52	88	80	83	30	59	102	125	76	153	176	181	12188
IT4_3120283	4	10	22	10	4	6	13	10	11	46	43	31	4177
IT4_3120603	8	12	8	11	11	9	4	7	15	20	31	18	3150
IT4_3120888	22	22	17	10	4	4	17	10	8	46	53	27	5081
IT4_3121636	27	33	38	28	14	32	31	70	46	125	120	78	9409
IT4_3121971	43	68	89	73	34	40	60	69	73	148	176	147	17588
IT4_3122433	94	174	125	85	111	97	158	163	165	268	308	258	23062
IT4_3122738	24	35	30	28	19	29	29	34	36	70	80	76	6713
IT4_3123721	19	26	29	22	16	10	21	38	11	46	48	44	5840
IT4_3124426	307	294	319	247	270	231	242	422	320	370	400	285	13648
IT4_3124536	14	12	16	12	6	12	16	14	17	61	47	48	5330
IT4_312471	16	20	21	11	6	0	23	16	19	48	38	30	4524
IT4_3124812	16	20	12	51	27	52	162	165	147	171	219	143	13690
IT4_3125133	108	101	121	129	112	113	184	209	215	347	542	337	17966
IT4_3125419	19	34	26	26	15	25	18	16	22	48	46	54	5279
IT4_3126199	61	86	90	84	53	63	111	107	97	167	289	149	23957
IT4_3126990	6	16	16	20	6	12	12	18	14	33	38	34	5007
IT4_3127016	10	10	2	14	16	14	28	30	30	35	38	51	4027
IT4_3127209	34	32	18	38	13	24	68	52	51	135	144	132	9470
IT4_3127378	33	38	34	31	14	28	17	59	29	36	69	50	5928
IT4_3127448	20	24	47	19	26	24	17	26	28	39	82	41	5047
IT4_3128475	1749	2018	2502	1652	1125	1577	780	1002	948	781	813	640	12196
IT4_312881	328	475	417	268	176	222	160	173	135	210	275	208	31617
IT4_3129414	0	14	5	8	8	6	14	6	4	24	36	30	3447
IT4_3129833	265	265	201	230	154	212	182	213	159	310	345	261	15560
IT4_3130307	16	40	25	24	20	30	24	46	30	57	55	61	7050
IT4_3130511	238	288	283	219	170	234	201	246	269	403	467	375	18656
IT4_3130967	0	4	0	0	0	0	20	25	14	34	73	32	5199
IT4_3131044	213	274	321	193	219	129	173	249	220	266	309	253	10758
IT4_3132323	45	92	103	83	51	58	40	92	91	105	107	92	12113
IT4_3132353	31	42	51	36	36	34	48	69	82	134	147	115	14162
IT4_3132909	53	58	62	45	40	37	47	46	46	92	100	67	4724
IT4_3133709	11	26	26	5	12	6	28	21	27	62	68	46	5967
